Title,Description,Lat,Long
6th ave,"<h1>6th Ave Improvements</h1>
<h3>Goal:</h3>
<p>Parking and pedestrian improvements along 6th Ave S.</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5503910,-122.3269480
bike sharrows 1st ave,"<h1>Bike Sharrows</h1>
<h3>Goal:</h3>
<p>Bike sharrows on 1st Ave S from Marginal to Dawson</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>2007 Bicycle Master Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5556910,-122.3342220
bike sharrows 6st ave,"<h1>Bike Sharrows</h1>
<h3>Goal:</h3>
<p>Bike sharrows on 6th Ave S from River to Lucile</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>2007 Bicycle Master Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5484500,-122.3189020
bike sharrows harney,"<h1>Bike Sharrows</h1>
<h3>Goal:</h3>
<p>Bike sharrows on Harney</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>2007 Bicycle Master Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5488840,-122.3190520
bike sharrows vale,"<h1>Bike Sharrows</h1>
<h3>Goal:</h3>
<p>Bike sharrows on Vale</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>2007 Bicycle Master Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5448430,-122.3260680
carlton ave,"<h1>Carlton Ave</h1>
<h3>Goal:</h3>
<p>Bike boulevard on Carleton Ave</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>2007 Bicycle Master Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5472840,-122.3201890
carstens and airport,"<h1>Carstens and Airport Way</h1>
<h3>Goal:</h3>
<p>New traffic signal at Carstens and Airport Way</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>2007 Airport Way Visioning</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5512810,-122.3189660
corson 6th,"<h1>Corson St. & 6th Ave S.</h1>
<h3>Goal:</h3>
<p>Bike/Ped pathway between Corson and 6th Ave S (between DOT and SSCC)</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>2007 Bicycle Master Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5436560,-122.3258970
doris and airport,"<h1>Doris and Airport Way</h1>
<h3>Goal:</h3>
<p>New traffic signal at Doris and Airport Way</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>2007 Airport Way Visioning</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5500860,-122.3181930
georgetown freeway exit,"<h1>Freeway Exit</h1>
<h3>Goal:</h3>
<p>Close the freeway exit at Corson and the entrance at Bailey - relocate to Lucile and Albro</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5579210,-122.3213260
