"Title","Goal","1977 Neighborhood Plan","1995 Needs Assessment","1998 Neighborhood Plan","2007 Bicycle Master Plan","2007 Airport Way Visioning","2008 Duwamish Visioning","Status","Location","Maptype","Progress Detail","Challenges and barriers","Next Steps","Category","Study"
,"Defining [The Seattle Design District]…physically through signage and gateway entries.",,,"x",,,,"No Progress","**Needs research","polygon",,,"Identify and contact the","Seattle Design District",
,"Develop a single resource directory that includes businesses inside the Seattle Design District",,,"x",,,,"No Progress","**Needs research","page",,,"the plan and request a","Seattle Design District",
"South Seattle College","Establish a community center with computer lab and job center",,"x","x",,,"x","In Progress","South Seattle College","polygon","Job center located at SSCC Georgetown Annex","Have a community space in Georgetown City Hall",,"Quality of Life",
,"Multi-purpose facility to house job-training, English as a second language classes and other job networking opportunities…in conjunction with community center.",,,"x",,,,"No Progress",,"**TBD",,,,"Quality of Life",
"Old City Hall","Mini-City Hall in Old City Hall with bulletin board, meeting rooms. ","x",,"x",,,,"In Progress","Old City Hall","polygon","Georgetown City Hall restoration completed and GCC given permanent use of one room and shared use of a large meeting room.  However, public access is not 24/7","Current owners use most of the building",,"Quality of Life",
"Steam Plant","City support and endorsement of the Steam Plant Museum",,,"x",,,,"In Progress","Steam Plant","polygon","Seattle City Light is working on moving this forward","SCL is still working with KCIA to establish permenant access to the site.","Work with SCL on their strategic plan for steam plant.","Quality of Life",
,"Mini branch Library","x",,"x",,,"x","No Progress","**Verify – vision data","polygon","New South Park branch precludes anything for Georgetown in the near future","Neighborhood too small to support a new branch library","Bookmobile","Quality of Life",
,"Tree plantings","x",,"x",,,"x","In Progress","**Verify – Cari + City + Others??","Point – multi","Trees planted on Corson, Flora, Ellis, 8th Ave. Progress has been made. As of 2015, City has recommitted to neighborhood tree planting.","Hardscaping all the way to the property line in the industrial zoned areas; No planting strip on Carleton","Identify more areas where trees can be planted; work with the city arborist to get permissions to plant","Quality of Life",
,"Neighborhood Clean-ups",,,"x",,,,"In Progress",,"**TBD, Polygon??","Spring cleanups annually","Getting people to show up, coordinating, logistics","Keep up the good work!","Quality of Life",
,"Public art by local artists",,,"x",,,,"In Progress",,"Point – multi","8th Ave street end kiosk; Garden Hat installation at Oxbow; Graffitti wall facing 4th Ave. Festival St. art. ","Identifying sources of money, locating appropriate locations","Encourage community involvement","Quality of Life",
,"Community Festivals",,"x","x",,,,"In Progress",,"Point – multi","Carnival, History Tour, Garden Walk, Neighborhood BBQ",,,"Quality of Life",
,"Anti-graffiti campaign",,,"x",,,,"In Progress",,"Point – multi","DROF grant issed for this","Ongoing gang/graffiti problem. ",,"Quality of Life",
,"Farmers market / Open air market under the Corson offramp",,,"x",,"x","x","Dead","**Verify – vision data","polygon","Established for three years, but was not sustainable",,,"Quality of Life",
"Carleton Grocery","Attract a grocery store",,"x","x",,,"x","Complete","Carleton Grocery","polygon","Carleton Grocery established in 2008",,,"Quality of Life",
,"Establish a business association","x",,,,,,"Complete",,"**TBD",,,,"Quality of Life",
,"Encourage more restaurants","x",,,,,,"Complete",,"**TBD, Polygon??",,,,"Quality of Life",
"old Georgetown Elementary School","Maintain the old Georgetown Elementary School building; make available for community use; consider joint use by an elementary school ","x",,,,,,"Dead","old Georgetown Elementary School","polygon",,,,"Quality of Life",
,"More public art - Duwamish tribal art",,,,,,"x","No Progress","**Verify – vision data","Point – multi",,,,"Quality of Life",
"CDL Recycling",,,,,,,,,"CDL Recycling","polygon",,,,,
"Waste Management",,,,,,,,,"Waste Management","polygon",,,,,
,"Encourage clean industry, better ecology standards for business",,,"x",,,"x","In Progress","**Needs research","combo","Much encouragement is being put forth re: CDL, Waste Management","Zoning. Not everyone has same definition of clean.","Working with OSE and King County Public Health","Quality of Life",
,"Expand and enhance Ruby Chow Park",,,"x",,,,"In Progress",,"**Dupe – needs refinement","Work done to discourage semi-truck parking. Friends of Ruby Chow Park established.","Ruby Chow blocked by airport expansion; County-owned land; Airport considers it an ""art installation""","Include Ruby Chow in any future Pro-Parks levy","Parks and Open Space",
"Gateway Park","Expand and enhance Gateway Park","x","x","x",,,"x","In Progress","Gateway Park","**Verify – vision data","Community chose to redirect efforts towards other projects. Duwamish River cleanup plan includes plans to create salmon habitat.","Challenging partnering with local businesses to maintain street.","Need to follow up on the current ownership status of steam plant pumphouse.","Parks and Open Space",
"Baily Street","Develop safe connections to link Georgetown’s residential area south of Bailey with the Georgetown Playfield.",,"x","x",,,,"No Progress","Baily Street","Polygon, **Needs Research",,"Michigan Street heavy volume; high speeds coming off the freeway at Corson.","Neighborhood street fund opportunities","Parks and Open Space",
,"Develop P-Patch",,"x","x",,,,"Complete","P-Patch **check","**Dupe – needs refinement","Oxbow P-Patch opened in 2005","Participation and ongoing maintenance; perception that Georgetown is unsafe to garden",,"Parks and Open Space",
,"Develop open space, public access, pathways in the greenbelt north of the Airport",,,"x",,,,"No Progress",,"**TBD, Polygon??",,"Don't know where this is","Include in any future Pro-Parks levy","Parks and Open Space",
,"Acquire Oxbow Park from WSDOT",,"x","x",,,,"Complete",,"**TBD, Polygon","Property acquired and developed in 2004",,"COMPLETE","Parks and Open Space",
"Airport way & 13th ave","Add pocket parks at Airport and 13th intersection","x",,,,"x",,"Complete","Airport way & 13th ave","polygon",,,,"Parks and Open Space",
"Doris St. & Airport Way","Add a pocket park or plaza at the corner of Doris and Airport","x",,,,"x",,"Complete","Doris St. & Airport Way","polygon","Now the Trailer Park Mall",,,"Parks and Open Space",
"Georgetown Playfield","Improve the Playfield / encourage local use of Playfield","x","x","x",,,,"In Progress","Georgetown Playfield","polygon","Playfield improvements to include turf grass for leagues and a small grass area for community pickup games",,"Completed. Park is in heavy and constant use.","Parks and Open Space",
,"Install a childrens playground","x",,,,,,"Complete",,"**Needs research",,,,"Parks and Open Space",
