Title,Description,Lat,Long
42nd Ave S Bank Restoration DUW-5,"<iframe src='http://waconnect.paladinpanoramic.com/project/250/1955' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/1955 >
                     </a>
                   </p>
                 </iframe>",47.4953985535,-122.280383972
"Acquisition, Levee Setback Habitat Rehabilitation, LG-13","<iframe src='http://waconnect.paladinpanoramic.com/project/250/1958' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/1958 >
                     </a>
                   </p>
                 </iframe>",47.4403094447,-122.2484596843
"Acquisition, Levee Setback, Floodplain Wetland Project LG-6","<iframe src='http://waconnect.paladinpanoramic.com/project/250/1956' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/1956 >
                     </a>
                   </p>
                 </iframe>",47.3671859942,-122.23818125
Bank Restoration and Revetment Setback  DUW-3,"<iframe src='http://waconnect.paladinpanoramic.com/project/250/1957' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/1957 >
                     </a>
                   </p>
                 </iframe>",47.4896473226,-122.2707141146
Bank Restoration and Revetment Setback DUW-9,"<iframe src='http://waconnect.paladinpanoramic.com/project/250/1959' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/1959 >
                     </a>
                   </p>
                 </iframe>",47.5053624066,-122.2953255487
Beaconsfield on the Sound - CLC,"<iframe src='http://waconnect.paladinpanoramic.com/project/250/16943' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/16943 >
                     </a>
                   </p>
                 </iframe>",47.4154199168,-122.3466463747
"Big Spring Creek Acquisition, MG-7","<iframe src='http://waconnect.paladinpanoramic.com/project/250/17319' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/17319 >
                     </a>
                   </p>
                 </iframe>",47.2164877925,-122.0266342163
"Big Spring Creek Restoration Project, MG-7","<iframe src='http://waconnect.paladinpanoramic.com/project/250/1960' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/1960 >
                     </a>
                   </p>
                 </iframe>",47.2228394666,-122.017066646
"Black River Marsh, LG-18","<iframe src='http://waconnect.paladinpanoramic.com/project/250/2771' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/2771 >
                     </a>
                   </p>
                 </iframe>",47.4769690746,-122.2470223776
"Boeing Levee - Mainstem Maintenance - Between RM 20.5 and 16.3, LG-10","<iframe src='http://waconnect.paladinpanoramic.com/project/250/8636' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/8636 >
                     </a>
                   </p>
                 </iframe>",47.5,122.3
"Briscoe Off-Channel Habitat Rehabilitation, LG-12","<iframe src='http://waconnect.paladinpanoramic.com/project/250/2772' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/2772 >
                     </a>
                   </p>
                 </iframe>",47.5,122.3
"Brunner Slough (Kanaskat North), MG-2","<iframe src='http://waconnect.paladinpanoramic.com/project/250/6997' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/6997 >
                     </a>
                   </p>
                 </iframe>",47.5,122.3
"Burns Creek Rehabilitation at RM 38, MG-10","<iframe src='http://waconnect.paladinpanoramic.com/project/250/7523' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/7523 >
                     </a>
                   </p>
                 </iframe>",47.2850413811,-122.1094416374
"Carrot Patch - Mainstem Maintenance, LG-10","<iframe src='http://waconnect.paladinpanoramic.com/project/250/8643' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/8643 >
                     </a>
                   </p>
                 </iframe>",47.5,122.3
Cecil Moses Revetment Removal and Habitat Creation,"<iframe src='http://waconnect.paladinpanoramic.com/project/250/18854' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/18854 >
                     </a>
                   </p>
                 </iframe>",47.5032,-122.2976
Codiga Park Riparian Corridor Enhancement,"<iframe src='http://waconnect.paladinpanoramic.com/project/250/16930' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/16930 >
                     </a>
                   </p>
                 </iframe>",47.4892,-122.2703
"Cove Creek Pocket Estuary Restoration on Vashon Island, NS-7","<iframe src='http://waconnect.paladinpanoramic.com/project/250/7533' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/7533 >
                     </a>
                   </p>
                 </iframe>",47.4543,-122.5095
"Gale and Boundary Creek - Culvert Replacement, UG-3","<iframe src='http://waconnect.paladinpanoramic.com/project/250/7540' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/7540 >
                     </a>
                   </p>
                 </iframe>",47.2608710189,-121.7386293411
Dash Point State Park Pocket Estuary Restoration NS-16,"<iframe src='http://waconnect.paladinpanoramic.com/project/250/7545' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/7545 >
                     </a>
                   </p>
                 </iframe>",47.5,122.3
"Dillworth Gorsuch Creek Pocket Estuaries Restoration, NS-8","<iframe src='http://waconnect.paladinpanoramic.com/project/250/7550' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/7550 >
                     </a>
                   </p>
                 </iframe>",47.5,122.3
Downey Farmstead Restoration Project,"<iframe src='http://waconnect.paladinpanoramic.com/project/250/19351' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/19351 >
                     </a>
                   </p>
                 </iframe>",47.5,122.3
"Downey Farmstead Restoration Project, LG-7","<iframe src='http://waconnect.paladinpanoramic.com/project/250/12602' width='100%' height='750' sandbox>
                   <p>
                     <!--Fallback link for browsers that, unlikely, don't support frames -->
                     <a href= http://waconnect.paladinpanoramic.com/project/250/12602 >
                     </a>
                   </p>
                 </iframe>",47.5,122.3
