#,STATUS,Location ID,Title,Address,ORGANIZATIONS,LAT,LONG,PROJECT_DESCRIPTION,PROJECT_DATE,END_DATE,Id,Source,URL,Slug
257,,1,.3 miles shoreline bank,,WRIA9 Municipalities,47.5,-122.3,Plant native riparian vegetation on inside bend of the river. .3 miles shoreline bank,,,{{unlisted}},A:1,n/a,.3 miles shoreline bank
258,,2,42nd Ave S Bank Restoration DUW-5,end of 42nd Ave South,WRIA9 Municipalities,47.5,-122.28,This project involves riparian revegetation at the end of 42nd Ave South. The water main still needs to be relocated to allow bank stabilization. Wood would also be added at this stage.,2005-01-01T00:00:00,2015-01-01T00:00:00,09-01-Nearshore,"A:2, B:129",http://waconnect.paladinpanoramic.com/project/250/1955,42nd Ave South
259,??multiple,4,9 floodplains,,The Nature Conservancy,47.61,-122.332071,"Floodplains by Design. Partnership of WA DOE, TNC, USGS, and PSP. In 2013, WA state legislature approved an initial $33 million to support 9 floodplains by design projects around Puget Sound. Each project will be conducted by a partnership of organizations.",,,{{unlisted}},A:3,n/a,9 floodplains
260,,5,"Acquisition, Levee Setback Habitat Rehabilitation, LG-13",,{{Unlisted}},47.44,-122.25,,2009-02-01T00:00:00,2010-09-30T00:00:00,09-0108,B:130,http://waconnect.paladinpanoramic.com/project/250/1958,"Acquisition, Levee Setback Habitat Rehabilitation, LG-13"
261,,6,"Acquisition, Levee Setback, Floodplain Wetland Project LG-6",,{{Unlisted}},47.37,-122.24,,2007-01-03T00:00:00,2015-12-31T00:00:00,09-DUW-001A,B:131,http://waconnect.paladinpanoramic.com/project/250/1956,"Acquisition, Levee Setback, Floodplain Wetland Project LG-6"
262,,7,Auburn Environmental Park,,WRIA9 Municipalities,47.5,-122.3,"Auburn Environmental Park Expansion. Complete the land acquisition for Phase I of the park by acquiring an additional 29 acres of forested, scrub shrub, emergent, and open water wetland habitat for a total park size of 120 acres.",,,{{unlisted}},A:4,n/a,Auburn Environmental Park
263,,8,Bank Restoration and Revetment Setback  DUW-3,,{{Unlisted}},47.49,-122.27,,2010-01-01T00:00:00,2010-12-31T00:00:00,09-DUW-003,B:132,http://waconnect.paladinpanoramic.com/project/250/1957,Bank Restoration and Revetment Setback  DUW-3
264,,9,Bank Restoration and Revetment Setback DUW-9,,{{Unlisted}},47.51,-122.3,,2010-01-01T00:00:00,2015-12-31T00:00:00,09-DUW-005,B:133,http://waconnect.paladinpanoramic.com/project/250/1959,Bank Restoration and Revetment Setback DUW-9
265,,10,Bass Lake,,King Conservation District,47.5,-122.3,"Priority Habitat Acquisition in the Middle Green: analyze conservation value of properties and acquire key properties, including 31 acres near Bass Lake",,,{{unlisted}},A:5,n/a,Bass Lake
266,,11,Bass Lake Complex Natural Area,,Forterra,47.5,-122.3,"4.76-acre addition to King County's Bass Lake Complex Natural Area complementing the existing 3,500 acres preserved by Stat",,,{{unlisted}},A:6,n/a,Bass Lake Complex Natural Area
267,,12,Bass/Beaver Park,,King County DNR & Parks and subdivision WLRD,47.5,-122.3,"Bass/Beaver Park Ecosystem Restoration. King County will use this grant to protect 71.5 acres of the Bass-Beaver Lake complex, which contains three lakes totaling 42 acres, extensive wetlands, and a stream. ",,,{{unlisted}},A:7,n/a,Bass/Beaver Park
268,,13,Beaconsfield on the Sound - CLC,,{{Unlisted}},47.42,-122.35,,2010-01-01T00:00:00,2015-12-31T00:00:00,09-DUW-007,B:134,http://waconnect.paladinpanoramic.com/project/250/16943,Beaconsfield on the Sound - CLC
269,,14,Beaver Lake,,King Conservation District,47.5,-122.3,"Acquire 10 acres of land adjacent to Beaver Lake, permanently protecting important fish and wildlife habitat and water quality in the Middle Green.",,,{{unlisted}},A:8,n/a,Beaver Lake
270,,15,"Big Spring Creek Acquisition, MG-7",,King County DNR & Parks and subdivision WLRD,47.22,-122.03,"Big Spring Creek - acquire 74 acres within headwaters of Big Spring Creek, realignment of Big Spring Creek. Install instream LWD, revegetate riparian zone.",2007-01-01T00:00:00,2013-12-31T00:00:00,09-DUW-008,"A:9, B:135",http://waconnect.paladinpanoramic.com/project/250/17319,Big Spring Creek
271,,16,"Big Spring Creek Restoration Project, MG-7",,King County DNR & Parks and subdivision WLRD,47.22,-122.02,"The Big Spring Creek Restoration Project will restore approx. 4,000 feet of stream habitat and nearly 20 acres of wetland habitat to protect endangered salmon. This will be accomplished in two phases by relocating the stream out of roadside and agricultural ditches into a more natural, complex channel with pools, cover and shade.  The riparian zone of the new channel will be replanted with native trees and shrubs, which will help reduce pollutants entering the stream, provide shade to reduce stream temperatures, and provide enhanced habitat for aquatic and terrestrial wildlife. Conditions within the adjacent wetland will also be enhanced by increasing the vegetative complexity of the wetland and associated buffers.",2012-01-01T00:00:00,2013-12-31T00:00:00,09-DUW-009,"A:10, B:136",http://waconnect.paladinpanoramic.com/project/250/1960,Big Spring Creek
272,,17,"Black River Marsh, LG-18",,{{Unlisted}},47.48,-122.25,,2000-10-30T00:00:00,2001-12-26T00:00:00,09-DUW-010A,B:137,http://waconnect.paladinpanoramic.com/project/250/2771,"Black River Marsh, LG-18"
273,,18,"Boeing Levee - Mainstem Maintenance - Between RM 20.5 and 16.3, LG-10",,{{Unlisted}},47.5,122.3,,2006-10-01T00:00:00,2009-04-30T00:00:00,09-MG-018,B:196,http://waconnect.paladinpanoramic.com/project/250/8636,"Boeing Levee - Mainstem Maintenance - Between RM 20.5 and 16.3, LG-10"
274,**check,19,Boeing Plant 2/Air Force Plant 17,,Boeing,47.5,-122.3,"Boeing Plant 2/Air Force Plant 17. EPA requires that Boeing dredge contaminated sediments from the waterway adjacent to Boeing Plant 2 and backfill the dredged areas with clean sand. Boeing began sediment cleanup in January 2013, and will continue during the approved fish window until scheduled completion in 2015. After cleanup, Boeing will create nearly five acres of intertidal wetlands and habitat for migratory fish where Plant 2 once stood.",2011-2015,,{{unlisted}},A:11,n/a,Boeing Plant 2/Air Force Plant 17
275,,20,Boundary Creek,,WRIA9 Municipalities,47.5,-122.3,"Create fish passage facilities in the Howard Hanson Dam. Implement the Gale Creek and Boundary Creek culvert replacement projects together to access three miles of spawning and rearing habitat for Chinook and coho salmon, steelhead trout, and possibly bull trout. The projects include gravel supplementation to provide suitable spawning material and large woody debris placement in order to create resting pools and trap gravel.",,,{{unlisted}},A:12,n/a,Boundary Creek
276,,21,"Briscoe Off-Channel Habitat Rehabilitation, LG-12",,King County DNR & Parks and subdivision WLRD,47.5,-122.3,"The Briscoe-Desimone Levee Improvement Project aims to improve public safety and protect the Kent Valley through flood-risk reduction. The project includes conducting geotechnical inspections to identify areas needing repair, constructing setback flood walls along four sections, or reaches, of the levee that do not meet stability criteria, removing large trees and roots that could cause damage to the levees, removing ivy and other ground cover than can prevent routine inspections, submitting applications to FEMA to certify the levees so properties are removed from the Kent valley floodplains and property ownsers are no longer required to buy flood insurance.",2008-07-01T00:00:00,2011-12-01T00:00:00,09-DUW-010B,"A:13, B:138",http://waconnect.paladinpanoramic.com/project/250/2772,Briscoe-Desimone Levee
277,,22,"Brunner Slough (Kanaskat North), MG-2",,{{Unlisted}},47.5,122.3,,2010-01-01T00:00:00,2015-12-31T00:00:00,09-DUW-010M,B:139,http://waconnect.paladinpanoramic.com/project/250/6997,"Brunner Slough (Kanaskat North), MG-2"
278,,24,"Burns Creek Rehabilitation at RM 38, MG-10",,{{Unlisted}},47.29,-122.11,,2012-01-01T00:00:00,2015-01-01T00:00:00,09-DUW-012,B:141,http://waconnect.paladinpanoramic.com/project/250/7523,"Burns Creek Rehabilitation at RM 38, MG-10"
279,,25,Camp Long,,Seattle Parks,47.61,-122.332071,"Camp Long: forest restoration, remove invasive plants, plant new native trees, monitor restoration sites",,,{{unlisted}},A:15,n/a,Camp Long
280,,26,Carosino Property,,WRIA9 Municipalities,47.5,-122.3,"Grants to seven projects including pre-project aquatic monitoring of Elliott Bay shoreline restoration at Olympic Sculpture Park, farm buffer restoration, John Beal citizen patrol of the Duwamish, citizen monitoring of lakes in Maple Valley, purchase of property on Hamm Creek, design of Kent park, natural yard care, agriculture land restoration, preparation to purchase Carosino property on the Duwamish, restoration of Miller/Walker Creek, and monitoring of Lake Sawyer",,,{{unlisted}},A:16,n/a,Carosino Property
281,,27,"Carrot Patch - Mainstem Maintenance, LG-10",,{{Unlisted}},47.5,122.3,,2010-01-01T00:00:00,2015-01-01T00:00:00,09-MG-016,B:194,http://waconnect.paladinpanoramic.com/project/250/8643,"Carrot Patch - Mainstem Maintenance, LG-10"
282,,28,Cecil Moses Revetment Removal and Habitat Creation,,King County Wastewater Treatment Division,47.5,-122.3,Cecil B. Moses Memorial Park: Fenced-off slough and marsh created to increase habitat,2010-01-01T00:00:00,2010-12-31T00:00:00,09-DUW-013,"A:17, B:142",http://waconnect.paladinpanoramic.com/project/250/18854,Cecil B. Moses Memorial Park
283,,29,Cleanup Job Training program,,Duwamish River Cleanup Coalition,47.5,-122.3,DRCC partnered with EPA's superfund job training initiative to provide free river cleanup job training and placement.,,ongoing??,{{unlisted}},A:18,n/a,Cleanup Job Training program
284,,30,Codiga Park Riparian Corridor Enhancement,,WRIA9 Municipalities,47.49,-122.27,"This project improves a riparian corridor of Codiga Park for juvenile Chinook salmon habitat. The riparian area is approximately 2 acres and 1,000 linear feet. This area was cleared of invasive plant species in phases from 2008-2010 with the help of community volunteers and EarthCorps crews under People For Puget Sound's management. The area is currently being maintained and monitored by volunteers called Puget Sound Stewards who are managed by EarthCorps. Ongoing maintenance and monitoring of the still young native plants is anticipated for the next 5 years at minimum as long as there is funding and landowner support.",0001-01-01T00:00:00,0001-01-01T00:00:00,09-DUW-014,"A:19, B:143",http://waconnect.paladinpanoramic.com/project/250/16930,Codiga Park
285,,31,Cooperative Weed Management Area,,King County DNR & Parks and subdivision WLRD,47.5,-122.3,This project implements coordinated control of invasive knotweed (Polygonum spp.) in the Green River Watershed with an established Cooperative Weed Management Area (CWMA).,,,{{unlisted}},A:20,n/a,Cooperative Weed Management Area
286,,32,"Cove Creek Pocket Estuary Restoration on Vashon Island, NS-7",,{{Unlisted}},47.45,-122.51,,2009-06-01T00:00:00,2015-06-20T00:00:00,09-DUW-015B,B:144,http://waconnect.paladinpanoramic.com/project/250/7533,"Cove Creek Pocket Estuary Restoration on Vashon Island, NS-7"
